"","treatment","pre","post","id","background","change"
"1","Vehicle",63.9871851,62.7837203,"mouse_1","fmr1",-1.2034648
"2","Vehicle",58.4825871,59.4795929,"mouse_2","fmr1",0.997005799999997
"3","Vehicle",59.7735716,42.4923719,"mouse_3","fmr1",-17.2811997
"4","Vehicle",51.0754017,55.5395164,"mouse_4","fmr1",4.4641147
"5","Vehicle",55.8808155,42.8811745,"mouse_5","fmr1",-12.999641
"6","Vehicle",38.686015,40.6969206,"mouse_6","fmr1",2.0109056
"7","Vehicle",46.8213372,61.6,"mouse_7","fmr1",14.7786628
"8","Vehicle",62.6084263,62.987013,"mouse_8","fmr1",0.3785867
"9","Vehicle",54.5901379,53.0518311,"mouse_9","fmr1",-1.5383068
"10","IL-17",60.99353,65.8177226,"mouse_10","fmr1",4.8241926
"11","IL-17",66.2765671,77.6594363,"mouse_11","fmr1",11.3828692
"12","IL-17",60.1260258,80.5687204,"mouse_12","fmr1",20.4426946
"13","IL-17",49.444707,63.7658228,"mouse_13","fmr1",14.3211158
"14","IL-17",55.1138485,77.6594363,"mouse_14","fmr1",22.5455878
"15","IL-17",61.4070066,80.5687204,"mouse_15","fmr1",19.1617138
"16","IL-17",52.4932976,49.444707,"mouse_16","fmr1",-3.0485906
"17","IL-17",55.1138485,57.5908965,"mouse_17","fmr1",2.477048
"18","IL-17",61.4070066,54.4305875,"mouse_18","fmr1",-6.9764191
"19","IL-17",52.4932976,68.6955215,"mouse_19","fmr1",16.2022239
"20","IL-17",53.5461576,68.3395943,"mouse_20","fmr1",14.7934367
